517,512,399398
2400,608,81479
577,818,3700252
593,784,1899265
176,682,5205134
760,554,207598
2443,818,178405
14,710,82624
2028,12,148368
487,840,33428
574,364,33506
2356,608,78271
2448,368,956
1975,634,76749
1953,784,55874
2331,414,25349
2041,608,6582
2412,36,10765
2160,512,10148
2451,414,1435
2422,710,20694
752,528,9921
2290,682,16432
2380,48,1830
1773,48,5267
2205,496,6
2068,496,7
2268,818,1060
2304,784,3991
2074,512,1883
2212,48,2500
1931,840,57
2109,710,849
2288,608,82
2218,788,2546
1869,704,24
2393,554,1075
2340,368,1837
2249,682,4038
2292,702,325
1876,250,111
1784,682,401
574,56,413
2183,458,42
2463,608,471
2421,364,4042
556,643,2419
2229,608,1666
1887,788,548
2317,528,11
2140,512,1560
2436,356,489
1917,504,661
2195,554,1361
2119,512,106
2090,682,681
1974,554,679
2257,792,77
1998,392,8
1842,760,402
2432,818,1135
1858,434,16
2276,380,21
2045,784,1888
2280,682,1313
2305,788,247
2300,887,65
444,616,352
2354,818,118
2436,56,46
1847,434,99
1983,124,173
2444,364,541
2206,434,308
2403,578,21
2340,642,42
2250,792,168
2226,276,159
2198,376,123
1999,276,16
1813,276,110
2255,48,249
1917,356,53
2341,586,269
1814,702,105
517,558,14
176,384,30
2121,400,50
1976,528,88
2118,392,23
2014,380,190
1946,156,19
2055,380,95
2116,608,59
2385,158,7
2429,608,346
1981,144,38
2171,504,433
1842,554,237
2070,598,3
1875,620,4
2131,0,5
2260,250,100
2298,643,18
2008,643,115
2395,524,44
1806,840,73
2269,498,13
2259,616,21
2047,203,4
2129,800,8
1948,498,18
2436,894,14
2203,533,2
2257,368,68
2359,422,100
1968,364,96
2164,440,25
2136,566,46
2267,800,7
2289,894,4
2287,764,7
2212,638,4
1872,752,31
2114,48,68
587,706,92
2295,706,13
2456,360,16
1979,124,27
2376,392,8
2214,360,35
1913,156,5
2215,800,7
1870,156,6
502,682,158
2222,442,7
2190,887,9
2400,804,32
2255,422,24
2283,356,65
2079,360,18
2109,250,23
