2214,148371
1806,26328
1950,70099
2453,11143
2040,26252
2250,11686
1840,80576
2173,3734
2184,9845
2371,99024
442,53894
2030,6898
1919,12078
1936,13187
1951,87180
1782,7457
2157,158713
1958,25101
1921,601738
2244,31849
502,13314
2088,3355
2403,376966
2400,309798
2175,9938
1882,16069
2364,4820
1983,483786
2278,36659
2341,8395
2378,108718
2263,398097
1905,77154
2317,7827
2355,674
487,26891695
2439,342121
1972,27329
2282,19824
2277,1256
1979,47517
2007,35971
1873,13632
2241,12090
7,76
2158,977391
1887,140022
551,23332331
2181,40066
2033,42368
2309,13499
2069,32566
2300,27621
2116,1712
529,26891695
2204,485769
1988,89207
2014,161827
2370,33109
2314,6148
2227,36611
1899,62304
624,11
2308,355913
2080,64262
1986,174948
2316,4295
1799,38573
1908,11822
1776,16962
1949,49439
2162,402855
2071,207432
1895,467483
1816,70517
2149,319618
1789,10848
2119,1637
2153,71594
1969,21364
1846,9162
1930,28896
2196,1817
2215,107751
2182,13543
1967,11568
1964,17660
2098,4941
2349,2907
2377,250609
2192,332595
1956,63796
2041,93179
2021,14091
1911,3844
2404,666144
2212,126564
1937,20563
2336,128545
2235,32616
752,26824705
555,3559364
2223,200917
2112,2939
2077,18485
2012,18233
2289,17989
1924,579871
2358,192217
2294,65819
2276,45341
2414,322242
2441,360404
1991,2045
1811,7830
2137,594266
2130,32489
1940,13589
595,26891694
2113,1406
450,29
596,1
561,26891694
2451,28830
1918,12064
1975,1868582
2360,84226
2022,19988
2185,35593
1945,116050
2397,109386
1775,141462
1891,2648414
1850,92340
2106,2109
2348,1007
2285,567019
2356,1033418
2168,422027
2247,26315
1942,8172
1893,331267
2016,197537
1826,44086
1778,6779
2110,5570
2026,6845
2043,49710
1805,22589
1897,57935
2261,48507
2059,34030
2384,1734639
2334,491796
1858,21056
2097,6048
2373,6957
1810,122226
1777,20880
1795,13919
1785,10043
1935,3061
1833,73731
2297,57211
2176,18342
760,26891695
455,26882660
1831,12941
1902,24707
1960,20475
2346,2050
703,302
642,1
2268,257742
2458,43998
2354,11780
2101,3107
1934,11160
6,9687474
2394,336726
68,31896
2186,18619
2027,14685
2177,11478
1994,20786
1786,13676
2362,285370
1773,202941
2207,262601
221,26891694
2164,290389
2291,70484
1898,37125
1817,43760
2275,29701
1862,39755
744,9666148
2418,294866
2076,15890
2429,17529
2365,69703
2191,1129
2172,332595
2170,336430
2281,12584
2255,6803
2084,1401
2287,13147
2270,16218
2420,38457
2444,23218
1923,10578
574,26891694
1955,29035
2259,102187
1800,56084
2037,50669
2415,348304
1987,190135
1849,54864
2219,23707
2066,14390
577,26891579
446,26891695
2140,27209
2114,6759
585,1
2412,616517
2419,476662
2018,51509
2455,24827
1821,1063
2107,316
1896,104466
2240,31850
2180,11829
2338,1722
276,19191110
2165,229226
1888,118373
1999,11669
1781,16381
2438,589608
1997,800610
226,191833
430,1832
453,1
499,26865987
2051,7536
2171,21821
1783,15758
2460,47115
2209,190382
2201,47888
1807,21578
498,25708
2318,14517
511,39
1948,71668
1855,3727
2456,18590
2376,40666
2234,31300
1963,21614
2383,1646454
2134,72083
1884,27180
1,26532018
2062,171730
1909,49500
1875,56030
2079,32013
1845,9903
2242,20738
2293,575959
2437,477265
1953,78960
2413,528151
2086,16539
1787,3152
1790,168500
2396,106790
2390,68676
1877,48161
2050,4296
2228,268964
1774,218556
1838,23392
2366,690
1894,1188796
2296,20909
2322,109583
2231,55105
593,26891695
556,26891695
2193,134837
2197,146949
2382,115833
2288,54593
2210,29866
748,1
2435,1664939
2463,19211
2178,1550
2369,14604
2357,123943
2147,90159
1829,42842
2305,40975
452,8684
1779,27206
2238,43930
2286,693893
2009,328234
1864,13643
2010,150338
2036,33240
1794,5768
1928,4627
1944,8366
1822,4
1867,20901
1926,79581
2064,30188
1808,20431
2222,704715
1947,115227
2367,10374
2449,84802
2299,49318
2464,14126
548,26891613
2339,732306
1804,232695
1809,18733
2426,84719
2006,29681
1876,41183
1879,32163
1832,13771
2298,41338
2090,2775
2434,928993
2017,172707
2253,19081
2424,23668
2163,61563
517,26891695
1920,77107
2085,40810
2315,9716
2353,1410
2256,830
755,103
2405,640824
2205,258902
2072,288536
2221,223913
1970,8824
2347,13232
581,1
2070,282796
2131,208732
2452,62660
2410,581285
2124,16519
2115,7392
309,174820
2443,594001
1793,56005
1815,17162
2154,207617
2265,33509
2195,7111
1998,29489
1866,329023
2013,222817
2199,15982
1885,23717
1857,504
2052,2923
1856,15980
2061,24475
1959,11341
1842,23292
1813,74739
1812,32368
303,713
1968,19427
2312,9336
2226,129630
2335,37077
2056,48996
2190,17788
2266,166907
2206,274632
1925,16491
2416,14230
535,16883
567,1
2224,314216
1976,134847
440,18937
2350,5484
1880,9279
573,1
1984,146450
2325,215752
587,26891695
2406,608144
2183,332595
2198,2500875
1977,455465
1890,1338679
1900,1405846
2047,31869
2232,31393
2024,37342
2100,13757
576,116
2202,2018064
382,587518
1915,53163
2310,26254
2359,57787
2436,1244815
2466,7604
1931,23525
2004,5299
2257,11454
2323,57957
2351,17641
2333,2068
491,26889863
2120,41204
2003,18316
2251,20929
1820,4765
2306,463454
